# EGS HST Catalogue
# From https://archive.stsci.edu/hlsp/candels/egs-catalogs
RA,Dec
215.2812256,53.0454676
215.2914595,53.0518235
215.2814004,53.0448002
215.2716925,53.0360018
215.1062691,52.9217771
215.2669777,53.0353943
215.2024801,52.9897377
215.2672854,53.0354295
215.1647255,52.9630546
215.2384324,53.0147357
215.0774728,52.9024028
215.2830183,53.0467994
215.2443879,53.019886
215.0506664,52.8835018
215.2579544,53.0290181
215.0529615,52.8847935
215.1860536,52.9754953
215.212754,52.9966161
215.2379174,53.0145728
215.1832107,52.9768458
215.2693419,53.03659
215.0725381,52.8985971
215.0529308,52.885078
215.1059498,52.9225996
215.0352861,52.8727804
215.1589172,52.9600129
215.1695392,52.9674918
215.1721486,52.9693431
215.2801718,53.0451306
215.2611785,53.0298264
215.0852972,52.9078516
215.2548234,53.0271618
215.2518788,53.0251035
215.209121,52.9952281
215.1128932,52.9276608
215.1301939,52.9397382
215.2156909,53.0000235
215.2474293,53.0206704
215.1882455,52.980817
215.2807184,53.0456653
215.1836027,52.9772188
215.035933,52.8731561
215.2593629,53.0306012
215.2633632,53.0335384
215.2117289,52.997349
215.2936184,53.0546039
215.2695165,53.037886
215.2833646,53.0475606
215.2564353,53.0280267
215.0696589,52.897331
215.2437358,53.0198838
215.1784935,52.9707174
215.1799075,52.974859
215.2875342,53.0506142
215.238379,53.0162095
215.1359549,52.9435773
215.2084649,52.9940865
215.2892601,53.05187
215.1373629,52.9452419
215.2836151,53.0469518
215.1320898,52.9416031
215.176019,52.9721459
215.1237409,52.935409
215.0677225,52.8961939
215.2452566,53.0200774
215.0906161,52.9118751
215.2790551,53.0447737
215.1327569,52.9421156
215.0009413,52.8490531
215.2424614,53.0173442
215.0921251,52.9131004
215.0671153,52.895776
215.2563991,53.0290629
215.1262035,52.9363326
215.1651835,52.9650705
215.29451,53.0550381
215.2092657,52.9956153
215.1710083,52.9691978
215.0919252,52.9134739
215.1728473,52.9704929
215.0584952,52.889867
215.1508022,52.9533262
215.2819677,53.04652
215.2080916,52.9951963
215.1999142,52.9893115
215.0937625,52.9146894
215.1035463,52.9217682
215.2969396,53.0571031
215.2017305,52.9904464
215.0915726,52.9129354
215.2493725,53.0241218
215.2805792,53.0453574
215.049861,52.8839214
215.0739312,52.9009346
215.0988855,52.9182728
215.2681616,53.0375389
215.1615355,52.9625689
215.1133234,52.928604
215.1096017,52.9258715
215.0953166,52.916063
215.2851292,53.0490005
215.0912721,52.9127731
215.050079,52.8841525
215.2702554,53.0386954
215.2058431,52.9935486
215.2808106,53.0465007
215.1831508,52.9774978
215.2133353,52.99924
215.224546,53.0040287
215.0908661,52.9130609
215.0327334,52.8718354
215.2837259,53.0485878
215.2648846,53.0349335
215.2907892,53.0531917
215.1604514,52.9619295
215.088778,52.9103427
215.1303233,52.9408839
215.2911815,53.053699
215.2661572,53.0363209
215.2557274,53.0289034
215.0357341,52.8740223
215.0905015,52.9129235
215.2404983,53.0179139
215.1481728,52.9531833
215.2082867,52.9956321
215.2292805,53.0104937
215.2541479,53.0280762
215.2493247,53.0246989
215.2439182,53.0204841
215.2355924,53.0148465
215.2467909,53.0229137
215.2978326,53.0586068
214.9763548,52.8323084
215.2022377,52.9910299
215.1399348,52.9479452
215.109715,52.9264116
215.2606481,53.0327629
215.1357259,52.9441058
215.1213443,52.934879
215.1604096,52.959725
215.1374266,52.9457915
215.171291,52.9700783
215.0128447,52.8582534
215.0659869,52.8954048
215.0540117,52.8859874
215.2899923,53.052393
215.2076955,52.9955965
215.1738123,52.9719344
215.0690994,52.8966997
215.1799573,52.9757571
215.2628728,53.0344712
215.2803486,53.0458625
215.1078101,52.9248191
215.2308579,53.0114799
215.256536,53.0300764
215.1611062,52.9595891
215.2680289,53.0380648
215.059242,52.8912527
215.2589462,53.0312211
215.2305842,53.0108523
215.1428337,52.9494229
215.2507147,53.0254201
215.2824733,53.047764
215.2909428,53.0542634
215.2715684,53.0394894
215.1373596,52.946277
215.067953,52.8975183
215.2162019,53.0015973
215.1431915,52.9504513
215.201998,52.9917727
215.104458,52.9232651
215.1837767,52.9787064
215.1036737,52.9223557
215.0920026,52.9141019
215.267262,53.0373093
215.253501,53.0278729
215.2615909,53.0335045
215.2361901,53.0160304
215.1362721,52.9458262
214.9950861,52.8460596
215.2925299,53.055127
215.1435606,52.9503404
215.0529598,52.8870364
215.1638306,52.9638384
215.253029,53.0278898
215.1630179,52.9629187
215.2125652,52.9993949
215.133023,52.9436399
214.9610769,52.8220835
215.1867797,52.9814025
215.0881961,52.9098761
215.2183105,53.0016979
215.2959727,53.057817
215.2467679,53.0236186
215.2595466,53.032616
215.1681458,52.9684618
214.9797688,52.8354418
215.2110338,52.9967431
215.088941,52.9127068
215.2627547,53.034897
215.1134184,52.92958
215.2647513,53.0363361
215.018511,52.8625131
214.9772251,52.8334631
215.102708,52.9222699
215.2764712,53.044552
215.1323746,52.9433733
214.9751248,52.832055
215.1599462,52.9623387
215.1035689,52.9228479
215.1605345,52.9632475
215.2919831,53.0550569
215.2772343,53.0449148
215.1002883,52.9206375
215.252974,53.0281871
215.1467197,52.9530683
215.1730275,52.9720848
215.2445318,53.0223024
215.0013806,52.8509287
215.1825178,52.9787772
215.2171724,53.0024025
215.1268478,52.9391666
215.2124654,52.999745
215.2048552,52.9944834
215.2844882,53.0502623
215.2508426,53.0267514
214.9933469,52.8453318
215.0651836,52.8954397
215.2906928,53.0547121
215.2669606,53.0370049
215.2719928,53.0415194
215.2045579,52.9939616
215.1226128,52.9359837
215.037509,52.8764625
215.2934492,53.0566941
215.0854737,52.9101789
215.2120729,52.9996951
215.0904159,52.9134188
215.1408108,52.9496572
215.0987927,52.9200578
215.1436705,52.9513868
215.2912553,53.0552848
215.0321513,52.8729932
215.1761408,52.9739892
214.9789869,52.83487
215.2438152,53.0218016
215.2658894,53.0371708
215.0669726,52.8976906
215.1045059,52.9241911
215.1420284,52.9506413
215.1618391,52.9631752
215.2589202,53.0323645
215.1671623,52.9680969
215.1373181,52.9472023
215.0596601,52.8924177
215.1491099,52.9556411
215.1350003,52.9453373
215.0621268,52.8943342
215.0902961,52.9141878
215.2622559,53.0344956
215.057541,52.8911334
215.1381415,52.9474265
215.2602724,53.0336972
215.0651497,52.8960339
214.9935561,52.8459068
215.0125988,52.8587735
215.0286083,52.8705606
215.2569767,53.0315693
215.0981553,52.9189276
215.303264,53.0640091
215.2995367,53.0614277
215.2223001,53.0073385
215.2198079,53.0056048
215.2821608,53.0493428
215.2407803,53.0203561
215.1025304,52.9231368
215.0189418,52.8638691
215.0347388,52.8752759
215.2417618,53.0203367
215.1469301,52.9544718
215.1568869,52.9611177
215.0333404,52.8726982
215.1231618,52.9371705
215.106469,52.9255484
215.096828,52.9191785
215.1598448,52.9633728
215.1010455,52.9201374
215.2945163,53.0569823
215.103745,52.9237443
215.1425707,52.9514434
215.217363,53.001353
215.0647222,52.8962501
215.25601,53.0310823
214.9825197,52.8382987
215.300818,53.0625111
215.1870059,52.9816502
215.2159349,53.003088
215.1570105,52.9609213
215.1607595,52.9621979
215.1082406,52.9262597
215.1549655,52.9602582
215.0697056,52.8996721
215.1641819,52.9667776
215.1078653,52.9263697
215.1560294,52.9610184
215.198403,52.9905231
215.2956964,53.0587237
215.0595085,52.8929494
215.1775698,52.9753848
215.3033374,53.0641517
215.2896915,53.0538749
215.2103824,52.9988775
215.2979087,53.0604661
215.2598367,53.0337072
215.1883419,52.9837466
215.1296364,52.9425755
215.0745261,52.9037283
215.2747513,53.0440446
215.197959,52.9902335
215.2443815,53.0230275
215.2916032,53.0562899
215.2993586,53.0617879
214.9943315,52.8470499
215.2377654,53.0180288
215.1447258,52.9527076
215.2138446,53.0018935
215.2185094,53.0049957
215.0335915,52.8734913
215.2153244,53.0029995
215.0305027,52.8712533
215.2987508,53.0612779
215.1608668,52.9645605
215.173384,52.973563
215.2304575,53.0133186
215.1564095,52.9611378
215.1001052,52.9219862
214.9917412,52.8453567
215.186292,52.9815341
215.1160792,52.9332773
215.0585676,52.8926189
215.2997239,53.0622208
215.1494756,52.9568086
215.0678792,52.8992709
215.0710536,52.8992371
215.2851393,53.0520296
215.1324126,52.9448346
214.9979636,52.8498394
214.9844346,52.8402518
215.1367491,52.9477805
215.1696008,52.9710399
215.2818469,53.0496612
215.2165269,53.0040258
215.0609786,52.8936118
215.1973838,52.9902187
215.1750645,52.9749435
215.1805835,52.9776809
215.2232071,53.0084704
215.2721251,53.0429876
215.2002205,52.9926275
215.1777934,52.9769156
215.2894371,53.0549627
215.2120399,53.0009896
215.0841415,52.9109561
214.9768356,52.8350173
215.0328236,52.8734792
215.1846267,52.9817858
215.2014417,52.9934947
214.9407654,52.8092968
215.1912265,52.9864496
215.1813907,52.9795639
215.2871015,53.0528713
215.1522661,52.9590943
214.957825,52.8216583
215.019023,52.8650511
215.266213,53.0373355
215.1189823,52.9356771
215.0655556,52.8979949
215.1071118,52.9252971
215.2339647,53.0151124
215.1484485,52.9552106
215.0617367,52.8953517
215.2605437,53.0342309
215.1242663,52.9389474
215.2867878,53.0535789
215.131004,52.9442187
214.9249355,52.7984017
215.0161957,52.8627041
215.2938585,53.0578849
215.0953817,52.9186053
215.0899107,52.9150204
214.9858063,52.8416694
214.9938118,52.8473635
215.2352006,53.0166344
215.0674762,52.8992206
215.2927696,53.0577263
215.1098984,52.9294587
215.1954816,52.9893998
215.0570976,52.8920643
214.9749483,52.8340469
215.2756499,53.0451576
215.0930573,52.91724
215.1948883,52.9892865
215.1656215,52.9687383
215.0895637,52.9151445
215.2497139,53.0278506
215.1797674,52.9781107
215.00101,52.8523908
215.105403,52.9254296
215.0740964,52.9043416
215.0663405,52.8980962
215.1481199,52.9561816
215.2448675,53.0242822
215.255997,53.0323746
215.2210726,53.0079019
215.2221595,53.0029138
215.0307877,52.8737699
215.2339246,53.0169304
215.2286396,53.0116522
215.0257093,52.8702594
215.0672332,52.8996458
214.9546078,52.8198721
215.0682248,52.8984658
215.2728218,53.0440252
215.0367642,52.8781088
215.0281527,52.872014
214.9944413,52.8474462
215.2112505,53.0009669
214.9475207,52.8149053
215.2789048,53.0461379
214.9958821,52.8492602
215.1574289,52.962937
215.1461717,52.9554136
215.0487105,52.8860964
215.0751029,52.9047677
215.0542029,52.890021
215.016628,52.8639781
215.2996945,53.063173
214.9015729,52.7823211
214.9567027,52.8213701
214.9276353,52.8008572
215.2456483,53.0250917
215.1599629,52.9637554
214.9846253,52.8411743
215.200633,52.9899822
215.0327146,52.8738679
215.0960743,52.9184107
215.2264036,53.0115754
214.9578254,52.822245
214.9875991,52.8435167
215.2958812,53.0604525
215.2106908,52.9995437
215.249683,53.0273443
215.1650409,52.9685821
215.1873913,52.9842315
215.1737445,52.9746533
215.0605825,52.8948766
215.2468673,53.0245463
215.2300302,53.0134193
215.0901868,52.915593
215.0997322,52.9228695
215.0971818,52.9210781
215.1416786,52.9510773
215.1605821,52.9640549
215.2119073,53.0004829
215.1029451,52.9242984
215.2778609,53.0481381
215.1578414,52.9639222
215.1895499,52.9849615
215.0135694,52.8620389
215.2441247,53.0245531
215.196152,52.9907199
